model,scope,method,mean,seed_values,patient_counts,cell_counts
mlp,rna_error,patient_shuffle_0,0.23524590494119305,"[0.24224806225397943, 0.23249726454597913, 0.23099238802362063]","[40, 40, 40]","[107437, 107236, 107550]"
mlp,rna_error,patient_shuffle_1,0.23801869812772444,"[0.24341022718630434, 0.23309256628166194, 0.23755330091520702]","[40, 40, 40]","[107437, 107236, 107550]"
mlp,rna_error,patient_shuffle_2,0.23846916862172388,"[0.2441259083607594, 0.23592643945570263, 0.23535515804870963]","[40, 40, 40]","[107437, 107236, 107550]"
mlp,rna_error,lineage_shuffle_0,0.2413432294301295,"[0.24896612294748144, 0.23668397995813542, 0.2383795853847717]","[40, 40, 40]","[107437, 107236, 107550]"
mlp,rna_error,lineage_shuffle_1,0.2408767346201962,"[0.2476256067450285, 0.23617866514523347, 0.23882593197032664]","[40, 40, 40]","[107437, 107236, 107550]"
mlp,rna_error,lineage_shuffle_2,0.24086702535127857,"[0.24394237552518966, 0.23502162266551738, 0.24363707786312877]","[40, 40, 40]","[107437, 107236, 107550]"
mlp,rna_error,prior_expected_cm,0.17467844774613397,"[0.1748315511368443, 0.17440864463783398, 0.17479514746372365]","[40, 40, 40]","[107437, 107236, 107550]"
mlp,rna_low_margin,rna,0.3586710336678327,"[0.36188030779980784, 0.35806447624762106, 0.3560683169560693]","[40, 40, 40]","[66869, 67819, 67547]"
mlp,rna_low_margin,apt,0.07865816351318232,"[0.0798426265355897, 0.07412457571907373, 0.08200728828488352]","[40, 40, 40]","[66869, 67819, 67547]"
mlp,rna_low_margin,rna_apt,0.44356970868846957,"[0.44804277141931415, 0.44298248165085813, 0.4396838729952363]","[40, 40, 40]","[66869, 67819, 67547]"
mlp,rna_low_margin,rna_noise,0.3902796849120495,"[0.3920860294857389, 0.391626629501485, 0.38712639574892455]","[40, 40, 40]","[66869, 67819, 67547]"
mlp,rna_low_margin,rna_oracle,0.5118706287228355,"[0.5195584932979405, 0.505321602986407, 0.5107317898841588]","[40, 40, 40]","[66869, 67819, 67547]"
mlp,rna_low_margin,apt_oracle,0.2939960467479183,"[0.29573461571609316, 0.29143797830107704, 0.2948155462265847]","[40, 40, 40]","[66869, 67819, 67547]"
mlp,rna_low_margin,prior_oracle,0.14829850348329088,"[0.1486755230247821, 0.1473040312846412, 0.14891595614044933]","[40, 40, 40]","[66869, 67819, 67547]"
mlp,rna_low_margin,patient_shuffle_0,0.42835767060559665,"[0.4405683258715618, 0.4263618375092188, 0.41814284843600924]","[40, 40, 40]","[66869, 67819, 67547]"
mlp,rna_low_margin,patient_shuffle_1,0.4289699631524699,"[0.43501501412307975, 0.4252441322035104, 0.42665074313081947]","[40, 40, 40]","[66869, 67819, 67547]"
mlp,rna_low_margin,patient_shuffle_2,0.4278526988064373,"[0.43130655972848714, 0.42944049679529206, 0.4228110398955326]","[40, 40, 40]","[66869, 67819, 67547]"
mlp,rna_low_margin,lineage_shuffle_0,0.43396878758894314,"[0.4375289813898706, 0.4321912708524404, 0.43218611052451833]","[40, 40, 40]","[66869, 67819, 67547]"
mlp,rna_low_margin,lineage_shuffle_1,0.4341623776533292,"[0.43514480678017403, 0.4316015707071966, 0.4357407554726168]","[40, 40, 40]","[66869, 67819, 67547]"
mlp,rna_low_margin,lineage_shuffle_2,0.4286385715589615,"[0.4295686704378039, 0.4255058588140123, 0.4308411854250682]","[40, 40, 40]","[66869, 67819, 67547]"
mlp,rna_low_margin,prior_expected_cm,0.18033769506230204,"[0.18130922919938572, 0.17914444900670715, 0.1805594069808133]","[40, 40, 40]","[66869, 67819, 67547]"
