width,model,seed,subtype,cells,patients,rna_correct,paired_correct,rescued,harmed
5000,sgd,20260912,CD4 Monocyte-4,1405,35,491,450,84,125
5000,sgd,20260912,CD56 NK,38442,40,26303,23608,3021,5716
5000,sgd,20260912,CD8 + CTL-1,7303,40,4696,4819,752,629
5000,sgd,20260912,CD8 + CTL-2,4049,33,949,1353,679,275
5000,sgd,20260912,CD8 + CTL-3,3244,27,938,1422,706,222
5000,sgd,20260912,CD8 Tem-1,26714,40,12663,13156,3104,2611
5000,sgd,20260912,CD8 Tem-2,10548,40,3763,2888,647,1522
5000,sgd,20260912,Cycling T,3667,40,2552,2525,168,195
5000,sgd,20260912,Erythrocyte,65,6,8,8,0,0
5000,sgd,20260912,GCB,3283,31,1416,1354,362,424
5000,sgd,20260912,Memory B-1,23722,40,17490,17973,2049,1566
5000,sgd,20260912,Memory B-2,2130,33,1058,1194,306,170
5000,sgd,20260912,Naive T,17960,40,11486,11682,1784,1588
5000,sgd,20260912,Plasma,2173,40,2103,2063,15,55
5000,sgd,20260912,Tcm,2121,36,209,180,88,117
5000,sgd,20260912,cDC2,7376,40,6474,6687,425,212
5000,sgd,20260912,pDC,2615,40,2339,2345,70,64
5000,sgd,20260912,platelet,1574,38,1505,1503,18,20
5000,sgd,20260913,Atypical Memory B,781,34,130,137,36,29
5000,sgd,20260913,CD14 Monocyte-1,29871,40,20875,20847,2287,2315
5000,sgd,20260913,CD14 Monocyte-2,3931,40,1650,1738,447,359
5000,sgd,20260913,CD14 Monocyte-3,2977,32,1203,1351,423,275
5000,sgd,20260913,CD16 Monocyte-1,14678,40,12611,12619,619,611
5000,sgd,20260913,CD16 Monocyte-2,5142,40,3577,3652,270,195
5000,sgd,20260913,CD16 NK,58507,40,35255,38560,8010,4705
5000,sgd,20260913,CD4 + Tcm-1,70653,40,34597,37327,9718,6988
5000,sgd,20260913,CD4 + Tcm-2,16861,39,10337,10456,1508,1389
5000,sgd,20260913,CD4 Monocyte-4,1405,35,547,553,92,86
5000,sgd,20260913,CD56 NK,38442,40,25683,28031,4369,2021
5000,sgd,20260913,CD8 + CTL-1,7303,40,4604,4851,752,505
5000,sgd,20260913,CD8 + CTL-2,4049,33,935,988,414,361
5000,sgd,20260913,CD8 + CTL-3,3244,27,777,893,434,318
5000,sgd,20260913,CD8 Tem-1,26714,40,12877,13467,2803,2213
5000,sgd,20260913,CD8 Tem-2,10548,40,3910,3401,643,1152
5000,sgd,20260913,Cycling T,3667,40,2572,2652,229,149
5000,sgd,20260913,Erythrocyte,65,6,8,8,0,0
5000,sgd,20260913,GCB,3283,31,1566,1407,281,440
5000,sgd,20260913,Memory B-1,23722,40,17352,18080,2233,1505
5000,sgd,20260913,Memory B-2,2130,33,1070,1316,332,86
5000,sgd,20260913,Naive T,17960,40,11216,10805,1511,1922
5000,sgd,20260913,Plasma,2173,40,2108,2113,15,10
5000,sgd,20260913,Tcm,2121,36,212,296,153,69
5000,sgd,20260913,cDC2,7376,40,6594,6727,315,182
5000,sgd,20260913,pDC,2615,40,2376,2352,57,81
5000,sgd,20260913,platelet,1574,38,1482,1491,22,13
5000,sgd,20260914,Atypical Memory B,781,34,125,120,30,35
5000,sgd,20260914,CD14 Monocyte-1,29871,40,20571,20007,2038,2602
5000,sgd,20260914,CD14 Monocyte-2,3931,40,1555,1818,502,239
5000,sgd,20260914,CD14 Monocyte-3,2977,32,1399,1493,311,217
5000,sgd,20260914,CD16 Monocyte-1,14678,40,12721,12672,591,640
5000,sgd,20260914,CD16 Monocyte-2,5142,40,3531,3558,254,227
5000,sgd,20260914,CD16 NK,58507,40,36005,39143,7418,4280
5000,sgd,20260914,CD4 + Tcm-1,70653,40,32152,38020,11672,5804
5000,sgd,20260914,CD4 + Tcm-2,16861,39,10032,10031,1701,1702
5000,sgd,20260914,CD4 Monocyte-4,1405,35,477,493,85,69
5000,sgd,20260914,CD56 NK,38442,40,26511,26214,3587,3884
5000,sgd,20260914,CD8 + CTL-1,7303,40,4713,4539,548,722
5000,sgd,20260914,CD8 + CTL-2,4049,33,987,975,411,423
