seed,patient_budget,cell_cap,model,task,accuracy,macro_f1,balanced_accuracy,patient_balanced_accuracy,patient_balanced_macro_f1,patient_balanced_balanced_accuracy,mean_patient_macro_f1,exact_path_accuracy,root_excluded_hierarchical_f1,subtype_tree_distance,mean_observed_training_classes_across_folds,min_observed_training_classes_across_folds,n_outer_folds,n_test_patients,n_test_cells
2,32,800,xgboost,coarse,0.5032670705819918,0.3045059454906526,0.31126955795373046,0.5191321506576587,0.3094876789451897,0.3131936055856286,0.2790667524976136,0.21991365204316293,0.4061311471784893,2.452785025650097,5.0,5,5,40,361792
2,32,800,xgboost,fine,0.3089952237749867,0.1094431985430468,0.11284110445271421,0.32162140899507136,0.10600059388199325,0.1077070276220647,0.06433823034034784,0.21991365204316293,0.4061311471784893,2.452785025650097,26.8,26,5,40,361792
3,32,800,logistic_regression,coarse,0.35340748275252076,0.295860837472179,0.3728650229411469,0.3697659547238695,0.2975724349496352,0.36255866570286294,0.2663553485322608,0.09459026180788961,0.24452309614364054,2.941480187511056,5.0,5,5,40,361792
3,32,800,logistic_regression,fine,0.13563870953476032,0.09709401467857542,0.1457422901829592,0.14521307727539481,0.09360434012854928,0.14245154696075923,0.055475866064128375,0.09459026180788961,0.24452309614364054,2.941480187511056,26.8,26,5,40,361792
3,32,800,xgboost,coarse,0.5037148416769857,0.3013186665005617,0.3087215614449173,0.5171827166923607,0.30687513912126485,0.3106411444337337,0.2780616248932905,0.21454869096055193,0.40523975101715903,2.464554218998762,5.0,5,5,40,361792
3,32,800,xgboost,fine,0.3067646603573324,0.1084865198906899,0.1133681080773423,0.32072986048212654,0.10656760066986187,0.10955476043711422,0.0647145624683521,0.21454869096055193,0.40523975101715903,2.464554218998762,26.8,26,5,40,361792
4,32,800,logistic_regression,coarse,0.35142291703520256,0.2954507842973698,0.37503556722287745,0.3695306945730511,0.2975082692326959,0.36518702404844955,0.2641827575960217,0.09438572439412701,0.24287159472846276,2.9593025826994515,5.0,5,5,40,361792
4,32,800,logistic_regression,fine,0.13432027242172298,0.09527673384351416,0.1448355926867816,0.14129550212037856,0.09157361387726094,0.14161187105141276,0.05428359620505011,0.09438572439412701,0.24287159472846276,2.9593025826994515,26.8,26,5,40,361792
4,32,800,xgboost,coarse,0.5051631876879533,0.3002526309356074,0.3083238707557382,0.5187124554600144,0.3064274168596491,0.31076389076543676,0.27784951808562386,0.21649456041040155,0.4061808995223775,2.456748629046524,5.0,5,5,40,361792
4,32,800,xgboost,fine,0.3071986113568017,0.10843044226546254,0.11233069102784835,0.3200943512715836,0.10562335951067002,0.10785786163387662,0.062788403068844,0.21649456041040155,0.4061808995223775,2.456748629046524,26.8,26,5,40,361792
5,32,800,logistic_regression,coarse,0.35779674509110204,0.29844720102565186,0.37012305884139074,0.37434032061415856,0.2998654716969015,0.3605634646630759,0.26673148972549343,0.09640622235980895,0.2476989540951707,2.939490093755528,5.0,5,5,40,361792
5,32,800,logistic_regression,fine,0.13760116309923934,0.09673294647054655,0.14550250150993851,0.14608892362748344,0.09299333810651804,0.14259230777443965,0.055424109449914424,0.09640622235980895,0.2476989540951707,2.939490093755528,26.8,26,5,40,361792
5,32,800,xgboost,coarse,0.5038143463647621,0.3024376769237035,0.30940911021008644,0.5191881197307142,0.30873930469329186,0.3120509677670904,0.2794841583860412,0.2177190208738723,0.4055686692906421,2.4550736334689547,5.0,5,5,40,361792
5,32,800,xgboost,fine,0.3073229922165222,0.11006937717299282,0.11384239724907358,0.321757153929947,0.10774229222144563,0.1097398638149868,0.06510177456466029,0.2177190208738723,0.4055686692906421,2.4550736334689547,26.8,26,5,40,361792
6,32,800,logistic_regression,coarse,0.3534489430390943,0.29691270344424586,0.3731591253648206,0.3693300150667972,0.2973231255048495,0.36092448586736564,0.26514411701402973,0.09542775959667434,0.24444846762780825,2.9576773394657705,5.0,5,5,40,361792
6,32,800,logistic_regression,fine,0.1354479922165222,0.09751952720866833,0.14671365566552483,0.14359668720360713,0.0935660975446725,0.14255577286752535,0.05473491172609028,0.09542775959667434,0.24444846762780825,2.9576773394657705,27.0,27,5,40,361792
6,32,800,xgboost,coarse,0.5028773438882009,0.3024753104911987,0.3090528111620457,0.5174728581043999,0.30898517055021646,0.3117379710409489,0.2790103104981659,0.22047751194056253,0.40679865779232266,2.4485007960375023,5.0,5,5,40,361792
6,32,800,xgboost,fine,0.3107199716964444,0.1066887082092294,0.11112430751435032,0.32319839329871436,0.10390730877585529,0.1066408924078624,0.06357114829532243,0.22047751194056253,0.40679865779232266,2.4485007960375023,27.0,27,5,40,361792
7,32,800,logistic_regression,coarse,0.3541150716433752,0.2956263479859131,0.37174021244649624,0.3681066788578476,0.2957999636957814,0.36121950187412255,0.264292038123205,0.09717185565186627,0.24588299354325138,2.9503692729524147,5.0,5,5,40,361792
7,32,800,logistic_regression,fine,0.13765091544312755,0.09887975842078474,0.1466899317163024,0.14473502736255633,0.09418018954378088,0.14311896706489885,0.05521725740601391,0.09717185565186627,0.24588299354325138,2.9503692729524147,26.8,26,5,40,361792
7,32,800,xgboost,coarse,0.5008513178843093,0.300949107299551,0.3090088947245624,0.5141773220116432,0.30602720972637437,0.310266682376776,0.277208559306656,0.21795949053599858,0.4043165686361224,2.46542764903591,5.0,5,5,40,361792
7,32,800,xgboost,fine,0.3077818193879356,0.1064435925130411,0.11147902740126246,0.3214768183917752,0.10441167135043367,0.10785301960155164,0.06291431532104985,0.21795949053599858,0.4043165686361224,2.46542764903591,26.8,26,5,40,361792
8,32,800,logistic_regression,coarse,0.35461259508225723,0.29717761746464555,0.37608419135392834,0.3734518235460297,0.30038054677516346,0.3668473827166332,0.2663029360498557,0.09714145144171236,0.24611793516716787,2.9443658234565717,5.0,5,5,40,361792
8,32,800,logistic_regression,fine,0.13762327525207854,0.09860321600209111,0.14480213609631823,0.1459357232893967,0.09356762169292693,0.1406480902332568,0.05536911829419426,0.09714145144171236,0.24611793516716787,2.9443658234565717,26.8,26,5,40,361792
8,32,800,xgboost,coarse,0.5040022996638953,0.2999361744874046,0.308278126212831,0.5182416682930964,0.30484869399326664,0.30940134235826877,0.27713792376386504,0.21630107907305857,0.40482653016097647,2.464272289050062,5.0,5,5,40,361792
8,32,800,xgboost,fine,0.3056507606580577,0.10611604445800145,0.10934328126435168,0.3197101358039953,0.10323149172310167,0.10498651825679578,0.06280959941912166,0.21630107907305857,0.40482653016097647,2.464272289050062,26.8,26,5,40,361792
9,32,800,logistic_regression,coarse,0.3511852113921811,0.29626611579275963,0.3781466344392229,0.36989360036282737,0.29830176517911855,0.36589338265190796,0.26509996387860696,0.09579261011852114,0.24417759375552803,2.9419113744914207,5.0,5,5,40,361792
9,32,800,logistic_regression,fine,0.13716997611887494,0.09832202919495657,0.14643536029617424,0.14487816612179533,0.09355940531516513,0.141977491863271,0.0548914921389221,0.09579261011852114,0.24417759375552803,2.9419113744914207,26.8,26,5,40,361792
