permutation,seed,patient_accuracy,patient_macro_f1
380,42,0.075,0.061111111111111116
381,42,0.15,0.14882154882154883
382,42,0.275,0.26109625668449193
383,42,0.075,0.08333333333333333
384,42,0.05,0.056644880174291944
385,42,0.2,0.1886877828054299
386,42,0.1,0.09047619047619047
387,42,0.1,0.10126569337095653
388,42,0.175,0.16085858585858584
389,42,0.1,0.08782774243300558
390,42,0.075,0.07380952380952381
391,42,0.0,0.0
392,42,0.075,0.05882352941176471
393,42,0.25,0.2489010989010989
394,42,0.2,0.16067538126361655
395,42,0.125,0.11858076563958915
396,42,0.2,0.20470885323826502
397,42,0.275,0.2591269841269841
398,42,0.025,0.025641025641025644
399,42,0.15,0.10994152046783624
400,42,0.125,0.10905695611577963
401,42,0.05,0.04882154882154882
402,42,0.225,0.21338383838383837
403,42,0.05,0.046031746031746035
404,42,0.05,0.05128205128205129
405,42,0.125,0.10416666666666667
406,42,0.1,0.083994708994709
407,42,0.15,0.11328976034858389
408,42,0.175,0.17851037851037851
409,42,0.05,0.046031746031746035
410,42,0.025,0.022222222222222223
411,42,0.125,0.1185897435897436
412,42,0.1,0.09523809523809523
413,42,0.15,0.14342105263157895
414,42,0.05,0.05808080808080809
415,42,0.125,0.11613876319758672
416,42,0.25,0.24619883040935672
417,42,0.125,0.11644401350283702
418,42,0.275,0.2660968660968661
419,42,0.175,0.146011396011396
420,42,0.0,0.0
421,42,0.225,0.21963698066639248
422,42,0.15,0.15607199817726133
423,42,0.075,0.06666666666666667
424,42,0.275,0.26724664224664224
425,42,0.2,0.15527065527065528
426,42,0.05,0.0392156862745098
427,42,0.175,0.20104723707664884
428,42,0.125,0.12905982905982907
429,42,0.1,0.09067460317460317
430,42,0.125,0.13005050505050506
431,42,0.15,0.12271704903283852
432,42,0.125,0.10171568627450982
433,42,0.125,0.10317460317460318
434,42,0.1,0.10972222222222222
435,42,0.125,0.11713776419658772
436,42,0.025,0.03333333333333333
437,42,0.1,0.0866013071895425
438,42,0.1,0.08472222222222221
439,42,0.025,0.023809523809523808
440,42,0.175,0.1767857142857143
441,42,0.175,0.17460317460317457
442,42,0.15,0.15247497600438778
443,42,0.3,0.31795241795241797
444,42,0.15,0.12222222222222223
445,42,0.125,0.12034044386985565
446,42,0.275,0.2783925626030889
447,42,0.025,0.030303030303030304
448,42,0.1,0.08369883040935672
449,42,0.2,0.17135854341736692
