B,repeat,model,patient_macro_f1,patient_accuracy,aptamers
10,24,LR,0.9029304029304028,0.9,APT-41;APT-55;APT-103;APT-104;APT-140;APT-155;APT-233;APT-236;APT-267;APT-279
10,25,LR,0.8714646464646464,0.875,APT-06;APT-29;APT-58;APT-86;APT-104;APT-188;APT-203;APT-210;APT-227;APT-273
10,26,LR,0.8767898767898767,0.875,APT-35;APT-56;APT-67;APT-172;APT-182;APT-191;APT-207;APT-210;APT-253;APT-290
10,27,LR,0.8814102564102564,0.875,APT-14;APT-31;APT-85;APT-126;APT-222;APT-246;APT-254;APT-255;APT-258;APT-261
10,28,LR,0.9004773004773005,0.9,APT-27;APT-43;APT-111;APT-116;APT-124;APT-152;APT-178;APT-194;APT-204;APT-268
10,29,LR,0.9046398046398046,0.9,APT-88;APT-90;APT-114;APT-126;APT-157;APT-192;APT-239;APT-261;APT-262;APT-267
10,30,LR,0.7319327731092437,0.775,APT-23;APT-94;APT-134;APT-137;APT-147;APT-152;APT-163;APT-184;APT-214;APT-239
10,31,LR,0.9023892773892775,0.9,APT-36;APT-70;APT-76;APT-77;APT-78;APT-87;APT-114;APT-128;APT-207;APT-228
10,32,LR,0.9266178266178265,0.925,APT-49;APT-52;APT-68;APT-86;APT-108;APT-126;APT-151;APT-181;APT-245;APT-281
10,33,LR,0.879399766899767,0.875,APT-26;APT-28;APT-81;APT-86;APT-91;APT-157;APT-204;APT-208;APT-217;APT-287
10,34,LR,0.9743589743589745,0.975,APT-05;APT-34;APT-101;APT-108;APT-128;APT-153;APT-174;APT-178;APT-218;APT-231
10,35,LR,0.8034493284493284,0.825,APT-38;APT-39;APT-60;APT-83;APT-114;APT-135;APT-154;APT-155;APT-190;APT-193
10,36,LR,0.9504273504273505,0.95,APT-03;APT-58;APT-77;APT-81;APT-132;APT-135;APT-147;APT-148;APT-184;APT-233
10,37,LR,0.8181623931623933,0.825,APT-25;APT-65;APT-66;APT-107;APT-153;APT-199;APT-257;APT-269;APT-272;APT-285
10,38,LR,0.8805860805860806,0.875,APT-03;APT-30;APT-70;APT-76;APT-92;APT-171;APT-210;APT-277;APT-279;APT-290
10,39,LR,0.902064602064602,0.9,APT-36;APT-67;APT-82;APT-101;APT-188;APT-241;APT-249;APT-253;APT-260;APT-289
10,40,LR,0.661604855412905,0.675,APT-71;APT-107;APT-126;APT-138;APT-183;APT-213;APT-226;APT-227;APT-232;APT-292
10,41,LR,0.9523809523809524,0.95,APT-09;APT-13;APT-36;APT-39;APT-95;APT-228;APT-230;APT-241;APT-248;APT-277
10,42,LR,0.9042735042735043,0.9,APT-28;APT-29;APT-41;APT-72;APT-94;APT-98;APT-148;APT-154;APT-173;APT-259
10,43,LR,0.9226495726495728,0.925,APT-24;APT-88;APT-89;APT-101;APT-147;APT-158;APT-166;APT-190;APT-206;APT-273
10,44,LR,0.9206349206349206,0.925,APT-13;APT-62;APT-80;APT-87;APT-114;APT-157;APT-175;APT-201;APT-207;APT-277
10,45,LR,0.7458108884579473,0.775,APT-01;APT-95;APT-100;APT-115;APT-178;APT-179;APT-194;APT-198;APT-224;APT-236
10,46,LR,0.9267399267399267,0.925,APT-36;APT-86;APT-160;APT-165;APT-174;APT-179;APT-189;APT-258;APT-259;APT-264
10,47,LR,0.9482184482184483,0.95,APT-79;APT-102;APT-133;APT-138;APT-159;APT-183;APT-207;APT-248;APT-257;APT-258
10,48,LR,0.8767898767898767,0.875,APT-73;APT-82;APT-104;APT-110;APT-151;APT-181;APT-194;APT-218;APT-219;APT-288
10,49,LR,0.900976800976801,0.9,APT-23;APT-68;APT-77;APT-94;APT-141;APT-221;APT-240;APT-251;APT-262;APT-285
10,50,LR,0.7848631760396466,0.8,APT-28;APT-42;APT-44;APT-54;APT-74;APT-76;APT-146;APT-185;APT-261;APT-291
10,51,LR,0.8630494505494507,0.875,APT-16;APT-26;APT-45;APT-54;APT-81;APT-119;APT-139;APT-193;APT-203;APT-236
10,52,LR,0.8713064713064713,0.875,APT-13;APT-52;APT-88;APT-96;APT-157;APT-159;APT-179;APT-181;APT-191;APT-221
10,53,LR,0.942857142857143,0.95,APT-11;APT-15;APT-44;APT-47;APT-71;APT-116;APT-218;APT-225;APT-253;APT-279
10,54,LR,0.8252747252747251,0.825,APT-14;APT-58;APT-59;APT-74;APT-114;APT-147;APT-173;APT-199;APT-249;APT-279
10,55,LR,0.8239407651172358,0.825,APT-07;APT-125;APT-131;APT-141;APT-188;APT-190;APT-198;APT-258;APT-279;APT-280
10,56,LR,0.9482184482184483,0.95,APT-43;APT-53;APT-69;APT-109;APT-121;APT-132;APT-163;APT-196;APT-248;APT-292
10,57,LR,0.7922894099364687,0.8,APT-71;APT-78;APT-88;APT-155;APT-173;APT-183;APT-209;APT-237;APT-259;APT-270
10,58,LR,0.8761030636030637,0.875,APT-132;APT-140;APT-152;APT-178;APT-184;APT-207;APT-220;APT-240;APT-260;APT-275
10,59,LR,0.9025641025641026,0.9,APT-81;APT-101;APT-103;APT-125;APT-152;APT-170;APT-180;APT-213;APT-243;APT-276
10,60,LR,0.7713675213675214,0.775,APT-16;APT-29;APT-55;APT-61;APT-115;APT-119;APT-128;APT-136;APT-143;APT-200
10,61,LR,0.7927350427350429,0.8,APT-05;APT-16;APT-30;APT-36;APT-70;APT-74;APT-171;APT-226;APT-239;APT-271
